########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      27448.0        165.674379431      165.674379431
1246.0     1313.0      20614.0        143.575763972      143.575763972
1313.0     1383.0      15440.0        124.257796536      124.257796536
1383.0     1455.0      11564.0        107.53604047      107.53604047
1455.0     1530.0      8953.0        94.6202938064      94.6202938064
1530.0     1607.0      6625.0        81.3941029805      81.3941029805
1607.0     1687.0      5121.0        71.5611626513      71.5611626513
1687.0     1770.0      3817.0        61.7818743646      61.7818743646
1770.0     1856.0      2921.0        54.0462764675      54.0462764675
1856.0     1945.0      2243.0        47.3603209449      47.3603209449
1945.0     2037.0      1667.0        40.8289113252      40.8289113252
2037.0     2132.0      1219.0        34.9141805002      34.9141805002
2132.0     2231.0      998.0        31.5911379979      31.5911379979
2231.0     2332.0      719.0        26.8141753556      26.8141753556
2332.0     2438.0      563.0        23.7276210354      23.7276210354
2438.0     2546.0      377.0        19.4164878389      19.4164878389
2546.0     2659.0      289.0        17.0      17.0
2659.0     2775.0      246.0        15.6843871414      15.6843871414
2775.0     2895.0      173.0        13.152946438      13.152946438
2895.0     3019.0      129.0        11.3578166916      11.3578166916
3019.0     3147.0      89.0        9.43398113206      9.43398113206
3147.0     3279.0      83.0        9.11043357914      9.11043357914
3279.0     3416.0      40.0        6.32455532034      6.32455532034
3416.0     3558.0      35.0        5.9160797831      5.9160797831
3558.0     3704.0      28.0        5.29150262213      5.29150262213
3704.0     3854.0      19.0        4.35889894354      4.35889894354
3854.0     4010.0      24.0        4.89897948557      4.89897948557
4010.0     4171.0      10.0        3.16227766017      3.16227766017
4171.0     4337.0      8.0        2.82842712475      2.82842712475
4337.0     4509.0      2.0        1.41421356237      1.41421356237
4509.0     4686.0      4.0        2.0      2.0
4686.0     4869.0      2.0        1.41421356237      1.41421356237
4869.0     5058.0      1.0        1.0      1.0
5058.0     5253.0      3.0        1.73205080757      1.73205080757
5253.0     5455.0      1.0        1.0      1.0
5455.0     5663.0      0.0        0.0      0.0
5663.0     5877.0      1.0        1.0      1.0
5877.0     6099.0      0.0        0.0      0.0
6099.0     6328.0      1.0        1.0      1.0
6328.0     6564.0      0.0        0.0      0.0
6564.0     6808.0      0.0        0.0      0.0
6808.0     7060.0      0.0        0.0      0.0
7060.0     7320.0      0.0        0.0      0.0
7320.0     7589.0      0.0        0.0      0.0
7589.0     7866.0      0.0        0.0      0.0
7866.0     8152.0      0.0        0.0      0.0
8152.0     8447.0      0.0        0.0      0.0
8447.0     8752.0      0.0        0.0      0.0
8752.0     9067.0      0.0        0.0      0.0
9067.0     9391.0      0.0        0.0      0.0
9391.0     9726.0      0.0        0.0      0.0
9726.0     10072.0      0.0        0.0      0.0
10072.0     10430.0      0.0        0.0      0.0
10430.0     10798.0      0.0        0.0      0.0
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
