########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      26354.2324219        202.13253626      202.13253626
1246.0     1313.0      20115.9023438        154.664550776      154.664550776
1313.0     1383.0      15534.2802734        120.30372187      120.30372187
1383.0     1455.0      11614.8310547        88.6618772237      88.6618772237
1455.0     1530.0      8977.41992188        69.3339763138      69.3339763138
1530.0     1607.0      6814.53271484        54.3150841281      54.3150841281
1607.0     1687.0      5168.22851562        42.2098554417      42.2098554417
1687.0     1770.0      3997.29663086        31.3266988681      31.3266988681
1770.0     1856.0      3022.22583008        22.5663859979      22.5663859979
1856.0     1945.0      2337.65844727        17.3797716801      17.3797716801
1945.0     2037.0      1797.56652832        12.7075544565      12.7075544565
2037.0     2132.0      1360.33398438        9.31564432879      9.31564432879
2132.0     2231.0      1040.13305664        7.20379757038      7.20379757038
2231.0     2332.0      796.375793457        5.68952638744      5.68952638744
2332.0     2438.0      618.099609375        6.94349561422      6.94349561422
2438.0     2546.0      456.923126221        3.46279401056      3.46279401056
2546.0     2659.0      361.735717773        2.80482561674      2.80482561674
2659.0     2775.0      270.249908447        2.28989228641      2.28989228641
2775.0     2895.0      207.724975586        1.82131023704      1.82131023704
2895.0     3019.0      159.862457275        1.5548182465      1.5548182465
3019.0     3147.0      120.107559204        1.29166246606      1.29166246606
3147.0     3279.0      91.9792327881        1.02327721851      1.02327721851
3279.0     3416.0      68.0482635498        0.850896770391      0.850896770391
3416.0     3558.0      50.7862205505        0.704190112232      0.704190112232
3558.0     3704.0      38.2978096008        0.583814717533      0.583814717533
3704.0     3854.0      28.2797393799        0.476303795014      0.476303795014
3854.0     4010.0      20.8312244415        0.373261015273      0.373261015273
4010.0     4171.0      15.1628007889        0.288276204461      0.288276204461
4171.0     4337.0      10.9075841904        0.214268579052      0.214268579052
4337.0     4509.0      8.02013587952        0.158694998615      0.158694998615
4509.0     4686.0      5.73307704926        0.117409098996      0.117409098996
4686.0     4869.0      4.13861894608        0.0913416397834      0.0913416397834
4869.0     5058.0      2.99463534355        0.0778905765685      0.0778905765685
5058.0     5253.0      1.96591567993        0.0509890653539      0.0509890653539
5253.0     5455.0      1.42308366299        0.0428740491173      0.0428740491173
5455.0     5663.0      0.936679661274        0.0289182805357      0.0289182805357
5663.0     5877.0      0.643003463745        0.0207038979663      0.0207038979663
5877.0     6099.0      0.404991805553        0.0134589764928      0.0134589764928
6099.0     6328.0      0.285673260689        0.0116233588917      0.0116233588917
6328.0     6564.0      0.18446482718        0.0142124383265      0.0142124383265
6564.0     6808.0      0.103383593261        0.00376553057304      0.00376553057304
6808.0     7060.0      0.068558908999        0.00319753314244      0.00319753314244
7060.0     7320.0      0.0377759002149        0.00168861733903      0.00168861733903
7320.0     7589.0      0.0218082051724        0.00141203051851      0.00141203051851
7589.0     7866.0      0.0251121986657        0.00045316953146      0.00045316953146
7866.0     8152.0      0.00661733048037        0.000295918744347      0.000295918744347
8152.0     8447.0      0.00367674184963        0.000221756920472      0.000221756920472
8447.0     8752.0      0.00184121506754        0.000132232106033      0.000132232106033
8752.0     9067.0      0.00080091675045        3.77136972307e-05      3.77136972307e-05
9067.0     9391.0      0.000348070228938        2.4862161025e-05      2.4862161025e-05
9391.0     9726.0      0.000161604039022        1.69407071669e-05      1.69407071669e-05
9726.0     10072.0      6.57071359456e-05        1.08021872504e-05      1.08021872504e-05
10072.0     10430.0      1.42069484355e-05        5.0229150445e-06      5.0229150445e-06
10430.0     10798.0      8.87934311322e-06        3.97096300854e-06      3.97096300854e-06
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
