########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      37045.3828125        284.131869641      284.131869641
1246.0     1313.0      28276.3417969        217.407493085      217.407493085
1313.0     1383.0      21836.0898438        169.10746806      169.10746806
1383.0     1455.0      16326.6318359        124.6294407      124.6294407
1455.0     1530.0      12619.2998047        97.4607684847      97.4607684847
1530.0     1607.0      9578.99121094        76.34914541      76.34914541
1607.0     1687.0      7264.82958984        59.3331749842      59.3331749842
1687.0     1770.0      5618.88427734        44.0350360399      44.0350360399
1770.0     1856.0      4248.25537109        31.7209171925      31.7209171925
1856.0     1945.0      3285.97900391        24.4302432096      24.4302432096
1945.0     2037.0      2526.78735352        17.8626423687      17.8626423687
2037.0     2132.0      1912.18225098        13.0947322436      13.0947322436
2132.0     2231.0      1462.08508301        10.1261702349      10.1261702349
2231.0     2332.0      1119.44238281        7.99760295767      7.99760295767
2332.0     2438.0      868.844787598        9.76027129138      9.76027129138
2438.0     2546.0      642.283630371        4.86754955242      4.86754955242
2546.0     2659.0      508.48147583        3.94266238006      3.94266238006
2659.0     2775.0      379.882507324        3.21883546633      3.21883546633
2775.0     2895.0      291.992980957        2.56016320984      2.56016320984
2895.0     3019.0      224.714035034        2.1855631137      2.1855631137
3019.0     3147.0      168.831726074        1.81565263177      1.81565263177
3147.0     3279.0      129.292556763        1.43839123892      1.43839123892
3279.0     3416.0      95.6534805298        1.19608102048      1.19608102048
3416.0     3558.0      71.3887252808        0.989859707265      0.989859707265
3558.0     3704.0      53.8341217041        0.820651490778      0.820651490778
3704.0     3854.0      39.7520141602        0.669526491372      0.669526491372
3854.0     4010.0      29.2818508148        0.524682231252      0.524682231252
4010.0     4171.0      21.313911438        0.405221536632      0.405221536632
4171.0     4337.0      15.3324766159        0.301191154564      0.301191154564
4337.0     4509.0      11.2736730576        0.223072977233      0.223072977233
4509.0     4686.0      8.05882072449        0.165038580269      0.165038580269
4686.0     4869.0      5.8175368309        0.128396305552      0.128396305552
4869.0     5058.0      4.20947265625        0.109488534391      0.109488534391
5058.0     5253.0      2.76343083382        0.071673856858      0.071673856858
5253.0     5455.0      2.00038766861        0.0602668128554      0.0602668128554
5455.0     5663.0      1.31666350365        0.0406495919333      0.0406495919333
5663.0     5877.0      0.903851389885        0.0291028715459      0.0291028715459
5877.0     6099.0      1.59089457989        0.0189188946278      0.0189188946278
6099.0     6328.0      0.401562660933        0.0163386199693      0.0163386199693
6328.0     6564.0      0.259296864271        0.0199780141712      0.0199780141712
6564.0     6808.0      0.145323336124        0.00529309759677      0.00529309759677
6808.0     7060.0      0.0963712781668        0.00449468000952      0.00449468000952
7060.0     7320.0      0.0531004928052        0.00237364063462      0.00237364063462
7320.0     7589.0      0.0306551642716        0.00198485052746      0.00198485052746
7589.0     7866.0      0.0162741951644        0.000637007325096      0.000637007325096
7866.0     8152.0      0.00930179096758        0.000415964434271      0.000415964434271
8152.0     8447.0      0.00516828987747        0.000311717299873      0.000311717299873
8447.0     8752.0      0.00258814287372        0.000185874853247      0.000185874853247
8752.0     9067.0      0.00112582556903        5.30130552137e-05      5.30130552137e-05
9067.0     9391.0      0.000489272293635        3.49480218576e-05      3.49480218576e-05
9391.0     9726.0      0.000227162134252        2.38130629014e-05      2.38130629014e-05
9726.0     10072.0      9.2362621217e-05        1.51843227046e-05      1.51843227046e-05
10072.0     10430.0      1.99702972168e-05        7.06056664131e-06      7.06056664131e-06
10430.0     10798.0      1.24814359879e-05        5.58186803949e-06      5.58186803949e-06
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
