########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      38832.0        197.058366988      197.058366988
1246.0     1313.0      28914.0        170.041171485      170.041171485
1313.0     1383.0      21800.0        147.648230602      147.648230602
1383.0     1455.0      16324.0        127.765410029      127.765410029
1455.0     1530.0      12482.0        111.722871427      111.722871427
1530.0     1607.0      9273.0        96.2964173788      96.2964173788
1607.0     1687.0      7140.0        84.4985206971      84.4985206971
1687.0     1770.0      5347.0        73.1231837381      73.1231837381
1770.0     1856.0      4112.0        64.1248781675      64.1248781675
1856.0     1945.0      3128.0        55.9285258164      55.9285258164
1945.0     2037.0      2309.0        48.0520551069      48.0520551069
2037.0     2132.0      1699.0        41.218927691      41.218927691
2132.0     2231.0      1362.0        36.9052841745      36.9052841745
2231.0     2332.0      1012.0        31.8119474412      31.8119474412
2332.0     2438.0      771.0        27.7668867538      27.7668867538
2438.0     2546.0      554.0        23.5372045919      23.5372045919
2546.0     2659.0      402.0        20.0499376558      20.0499376558
2659.0     2775.0      341.0        18.4661853126      18.4661853126
2775.0     2895.0      222.0        14.8996644258      14.8996644258
2895.0     3019.0      183.0        13.5277492585      13.5277492585
3019.0     3147.0      127.0        11.2694276696      11.2694276696
3147.0     3279.0      114.0        10.677078252      10.677078252
3279.0     3416.0      60.0        7.74596669241      7.74596669241
3416.0     3558.0      52.0        7.21110255093      7.21110255093
3558.0     3704.0      39.0        6.2449979984      6.2449979984
3704.0     3854.0      25.0        5.0      5.0
3854.0     4010.0      33.0        5.74456264654      5.74456264654
4010.0     4171.0      11.0        3.31662479036      3.31662479036
4171.0     4337.0      11.0        3.31662479036      3.31662479036
4337.0     4509.0      4.0        2.0      2.0
4509.0     4686.0      5.0        2.2360679775      2.2360679775
4686.0     4869.0      2.0        1.41421356237      1.41421356237
4869.0     5058.0      2.0        1.41421356237      1.41421356237
5058.0     5253.0      3.0        1.73205080757      1.73205080757
5253.0     5455.0      1.0        1.0      1.0
5455.0     5663.0      1.0        1.0      1.0
5663.0     5877.0      1.0        1.0      1.0
5877.0     6099.0      1.0        0.0      0.0
6099.0     6328.0      1.0        1.0      1.0
6328.0     6564.0      0.0        0.0      0.0
6564.0     6808.0      0.0        0.0      0.0
6808.0     7060.0      0.0        0.0      0.0
7060.0     7320.0      0.0        0.0      0.0
7320.0     7589.0      0.0        0.0      0.0
7589.0     7866.0      0.0        0.0      0.0
7866.0     8152.0      0.0        0.0      0.0
8152.0     8447.0      0.0        0.0      0.0
8447.0     8752.0      0.0        0.0      0.0
8752.0     9067.0      0.0        0.0      0.0
9067.0     9391.0      0.0        0.0      0.0
9391.0     9726.0      0.0        0.0      0.0
9726.0     10072.0      0.0        0.0      0.0
10072.0     10430.0      0.0        0.0      0.0
10430.0     10798.0      0.0        0.0      0.0
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
