########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      149008.0        386.015543728      386.015543728
1246.0     1313.0      110354.0        332.195725439      332.195725439
1313.0     1383.0      83718.0        289.340629708      289.340629708
1383.0     1455.0      62225.0        249.449393665      249.449393665
1455.0     1530.0      46903.0        216.571004523      216.571004523
1530.0     1607.0      35036.0        187.179058658      187.179058658
1607.0     1687.0      26429.0        162.56998493      162.56998493
1687.0     1770.0      20104.0        141.788574998      141.788574998
1770.0     1856.0      15076.0        122.784363825      122.784363825
1856.0     1945.0      11299.0        106.296754419      106.296754419
1945.0     2037.0      8452.0        91.9347594765      91.9347594765
2037.0     2132.0      6353.0        79.705708704      79.705708704
2132.0     2231.0      4794.0        69.2387174925      69.2387174925
2231.0     2332.0      3470.0        58.9067059001      58.9067059001
2332.0     2438.0      2750.0        52.4404424085      52.4404424085
2438.0     2546.0      1985.0        44.5533388199      44.5533388199
2546.0     2659.0      1462.0        38.2361085886      38.2361085886
2659.0     2775.0      1115.0        33.3916157141      33.3916157141
2775.0     2895.0      835.0        28.8963665536      28.8963665536
2895.0     3019.0      619.0        24.8797106092      24.8797106092
3019.0     3147.0      462.0        21.4941852602      21.4941852602
3147.0     3279.0      343.0        18.5202591775      18.5202591775
3279.0     3416.0      249.0        15.7797338381      15.7797338381
3416.0     3558.0      187.0        13.6747943312      13.6747943312
3558.0     3704.0      152.0        12.3288280059      12.3288280059
3704.0     3854.0      74.0        8.60232526704      8.60232526704
3854.0     4010.0      97.0        9.8488578018      9.8488578018
4010.0     4171.0      49.0        7.0      7.0
4171.0     4337.0      33.0        5.74456264654      5.74456264654
4337.0     4509.0      19.0        4.35889894354      4.35889894354
4509.0     4686.0      17.0        4.12310562562      4.12310562562
4686.0     4869.0      6.0        2.44948974278      2.44948974278
4869.0     5058.0      9.0        3.0      3.0
5058.0     5253.0      9.0        3.0      3.0
5253.0     5455.0      4.0        2.0      2.0
5455.0     5663.0      3.0        1.73205080757      1.73205080757
5663.0     5877.0      3.0        1.73205080757      1.73205080757
5877.0     6099.0      2.0        1.0      1.0
6099.0     6328.0      1.0        1.0      1.0
6328.0     6564.0      0.0        0.0      0.0
6564.0     6808.0      0.0        0.0      0.0
6808.0     7060.0      0.0        0.0      0.0
7060.0     7320.0      0.0        0.0      0.0
7320.0     7589.0      0.0        0.0      0.0
7589.0     7866.0      0.0        0.0      0.0
7866.0     8152.0      0.0        0.0      0.0
8152.0     8447.0      0.0        0.0      0.0
8447.0     8752.0      0.0        0.0      0.0
8752.0     9067.0      0.0        0.0      0.0
9067.0     9391.0      0.0        0.0      0.0
9391.0     9726.0      0.0        0.0      0.0
9726.0     10072.0      0.0        0.0      0.0
10072.0     10430.0      0.0        0.0      0.0
10430.0     10798.0      0.0        0.0      0.0
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
