########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      144481.09375        512.966162778      512.966162778
1246.0     1313.0      109577.6875        393.91656245      393.91656245
1313.0     1383.0      83120.875        298.25331798      298.25331798
1383.0     1455.0      62209.2460938        225.070298099      225.070298099
1455.0     1530.0      47122.9101562        166.761563441      166.761563441
1530.0     1607.0      35403.921875        128.020817618      128.020817618
1607.0     1687.0      26967.4140625        97.253027525      97.253027525
1687.0     1770.0      20595.9003906        75.7616420007      75.7616420007
1770.0     1856.0      15585.4228516        54.9577992436      54.9577992436
1856.0     1945.0      11836.6689453        41.409719389      41.409719389
1945.0     2037.0      9007.38574219        32.2152054297      32.2152054297
2037.0     2132.0      6823.01513672        24.1890151712      24.1890151712
2132.0     2231.0      5170.50732422        17.6900896039      17.6900896039
2231.0     2332.0      3887.92089844        13.6023036204      13.6023036204
2332.0     2438.0      2985.50439453        12.0677002329      12.0677002329
2438.0     2546.0      2220.93969727        8.17305525667      8.17305525667
2546.0     2659.0      1707.77185059        6.61120188734      6.61120188734
2659.0     2775.0      1268.69421387        5.20168943635      5.20168943635
2775.0     2895.0      962.543823242        4.18272932356      4.18272932356
2895.0     3019.0      719.632568359        3.41617980823      3.41617980823
3019.0     3147.0      536.858703613        2.77426043498      2.77426043498
3147.0     3279.0      401.303863525        2.27985718226      2.27985718226
3279.0     3416.0      299.656829834        1.89915489317      1.89915489317
3416.0     3558.0      222.86630249        1.55012506773      1.55012506773
3558.0     3704.0      164.227310181        1.26937893527      1.26937893527
3704.0     3854.0      120.547271729        1.01867129847      1.01867129847
3854.0     4010.0      89.0012588501        0.809720651764      0.809720651764
4010.0     4171.0      63.4846496582        0.61430538015      0.61430538015
4171.0     4337.0      45.9775695801        0.469514345315      0.469514345315
4337.0     4509.0      32.6837425232        0.342002723707      0.342002723707
4509.0     4686.0      22.6335773468        0.252969038932      0.252969038932
4686.0     4869.0      16.2513122559        0.193905008481      0.193905008481
4869.0     5058.0      11.3227939606        0.156185545512      0.156185545512
5058.0     5253.0      7.79466724396        0.11344209787      0.11344209787
5253.0     5455.0      5.36196374893        0.0845131874018      0.0845131874018
5455.0     5663.0      3.52392506599        0.0601316280268      0.0601316280268
5663.0     5877.0      2.35714769363        0.039121774596      0.039121774596
5877.0     6099.0      4.08729362488        0.0467969496462      0.0467969496462
6099.0     6328.0      0.985192716122        0.0160059774436      0.0160059774436
6328.0     6564.0      0.626569211483        0.01817997706      0.01817997706
6564.0     6808.0      0.390348166227        0.00921136544636      0.00921136544636
6808.0     7060.0      0.234140709043        0.0059510290607      0.0059510290607
7060.0     7320.0      0.13587372005        0.00353791390214      0.00353791390214
7320.0     7589.0      0.0789858847857        0.00275171348978      0.00275171348978
7589.0     7866.0      0.0447243228555        0.00210224680125      0.00210224680125
7866.0     8152.0      0.0233807861805        0.00063935973577      0.00063935973577
8152.0     8447.0      0.0140445008874        0.00138602425967      0.00138602425967
8447.0     8752.0      0.00631153676659        0.00029338061399      0.00029338061399
8752.0     9067.0      0.00313071976416        0.000214069410717      0.000214069410717
9067.0     9391.0      0.015565501526        0.0142894505621      0.0142894505621
9391.0     9726.0      0.000683606951497        0.000112618418751      0.000112618418751
9726.0     10072.0      0.000288318289677        7.89774014238e-05      7.89774014238e-05
10072.0     10430.0      6.02923973929e-05        1.08288331375e-05      1.08288331375e-05
10430.0     10798.0      2.13940766116e-05        6.45055611084e-06      6.45055611084e-06
10798.0     11179.0      7.82673596404e-05        7.63472238497e-05      7.63472238497e-05
11179.0     11571.0      1.94491599359e-06        1.94491584625e-06      1.94491584625e-06
11571.0     11977.0      3.88983198718e-06        2.75052636745e-06      2.75052636745e-06
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
