########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      101366.132812        359.89064195      359.89064195
1246.0     1313.0      76878.3359375        276.366931821      276.366931821
1313.0     1383.0      58316.5664062        209.250796369      209.250796369
1383.0     1455.0      43645.2304688        157.906505233      157.906505233
1455.0     1530.0      33060.84375        116.997826512      116.997826512
1530.0     1607.0      24838.9492188        89.8178039384      89.8178039384
1607.0     1687.0      18920.0        68.2315073533      68.2315073533
1687.0     1770.0      14449.8251953        53.1534201538      53.1534201538
1770.0     1856.0      10934.5371094        38.5577043578      38.5577043578
1856.0     1945.0      8304.45898438        29.0525410354      29.0525410354
1945.0     2037.0      6319.46923828        22.6017850765      22.6017850765
2037.0     2132.0      4786.94189453        16.9707104089      16.9707104089
2132.0     2231.0      3627.56323242        12.4111455407      12.4111455407
2231.0     2332.0      2727.71679688        9.54320603805      9.54320603805
2332.0     2438.0      2094.5925293        8.46654750124      8.46654750124
2438.0     2546.0      1558.18359375        5.73411331282      5.73411331282
2546.0     2659.0      1198.15136719        4.63833652967      4.63833652967
2659.0     2775.0      890.099975586        3.64944022884      3.64944022884
2775.0     2895.0      675.308654785        2.93455056218      2.93455056218
2895.0     3019.0      504.885192871        2.39674901272      2.39674901272
3019.0     3147.0      376.653320312        1.94638641168      1.94638641168
3147.0     3279.0      281.54977417        1.59951927518      1.59951927518
3279.0     3416.0      210.235488892        1.33242331222      1.33242331222
3416.0     3558.0      156.360214233        1.08754835349      1.08754835349
3558.0     3704.0      115.219833374        0.890580379449      0.890580379449
3704.0     3854.0      84.5744628906        0.71468703814      0.71468703814
3854.0     4010.0      62.4421691895        0.568089878648      0.568089878648
4010.0     4171.0      44.5400352478        0.430988968976      0.430988968976
4171.0     4337.0      32.2572898865        0.329405390455      0.329405390455
4337.0     4509.0      22.9305038452        0.239944832066      0.239944832066
4509.0     4686.0      15.8794345856        0.177479912752      0.177479912752
4686.0     4869.0      11.4017181396        0.136041327954      0.136041327954
4869.0     5058.0      7.94393062592        0.109577824653      0.109577824653
5058.0     5253.0      5.46864128113        0.0795895565618      0.0795895565618
5253.0     5455.0      3.76188659668        0.0592933949143      0.0592933949143
5455.0     5663.0      2.47234177589        0.0421875979009      0.0421875979009
5663.0     5877.0      1.65374529362        0.0274473475937      0.0274473475937
5877.0     6099.0      1.07194304466        0.0328321543827      0.0328321543827
6099.0     6328.0      0.691198885441        0.0112295935194      0.0112295935194
6328.0     6564.0      0.439593106508        0.0127548444508      0.0127548444508
6564.0     6808.0      0.273863375187        0.00646257875134      0.00646257875134
6808.0     7060.0      0.164270192385        0.00417516753409      0.00417516753409
7060.0     7320.0      0.0953272953629        0.00248215612996      0.00248215612996
7320.0     7589.0      0.055415507406        0.00193056775701      0.00193056775701
7589.0     7866.0      0.0759825706482        0.00147491005399      0.00147491005399
7866.0     8152.0      0.0164036676288        0.000448566791418      0.000448566791418
8152.0     8447.0      0.00985344592482        0.000972417279671      0.000972417279671
8447.0     8752.0      0.00442809518427        0.000205832168213      0.000205832168213
8752.0     9067.0      0.00219647376798        0.00015018842028      0.00015018842028
9067.0     9391.0      0.0109205609187        0.0100252997353      0.0100252997353
9391.0     9726.0      0.000479610054754        7.9011673597e-05      7.9011673597e-05
9726.0     10072.0      0.000202280498343        5.54095567318e-05      5.54095567318e-05
10072.0     10430.0      4.23003875767e-05        7.59737384686e-06      7.59737384686e-06
10430.0     10798.0      1.50098148879e-05        4.52562946275e-06      4.52562946275e-06
10798.0     11179.0      5.49114010937e-05        5.35642570527e-05      5.35642570527e-05
11179.0     11571.0      1.36452865718e-06        1.36452862438e-06      1.36452862438e-06
11571.0     11977.0      2.72905731435e-06        1.92973488684e-06      1.92973488684e-06
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
