########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      104239.0        322.860651056      322.860651056
1246.0     1313.0      77508.0        278.402586195      278.402586195
1313.0     1383.0      58708.0        242.297337996      242.297337996
1383.0     1455.0      43719.0        209.090889328      209.090889328
1455.0     1530.0      32956.0        181.537874836      181.537874836
1530.0     1607.0      24594.0        156.824742946      156.824742946
1607.0     1687.0      18533.0        136.13596145      136.13596145
1687.0     1770.0      14011.0        118.368070019      118.368070019
1770.0     1856.0      10583.0        102.873708983      102.873708983
1856.0     1945.0      7939.0        89.1010662114      89.1010662114
1945.0     2037.0      6010.0        77.5241897733      77.5241897733
2037.0     2132.0      4462.0        66.7982035687      66.7982035687
2132.0     2231.0      3409.0        58.386642308      58.386642308
2231.0     2332.0      2461.0        49.6084670192      49.6084670192
2332.0     2438.0      1927.0        43.8976081353      43.8976081353
2438.0     2546.0      1398.0        37.3898381917      37.3898381917
2546.0     2659.0      1044.0        32.3109888428      32.3109888428
2659.0     2775.0      813.0        28.5131548588      28.5131548588
2775.0     2895.0      608.0        24.6576560119      24.6576560119
2895.0     3019.0      429.0        20.7123151772      20.7123151772
3019.0     3147.0      326.0        18.0554700853      18.0554700853
3147.0     3279.0      247.0        15.7162336455      15.7162336455
3279.0     3416.0      168.0        12.9614813968      12.9614813968
3416.0     3558.0      125.0        11.1803398875      11.1803398875
3558.0     3704.0      96.0        9.79795897113      9.79795897113
3704.0     3854.0      49.0        7.0      7.0
3854.0     4010.0      65.0        8.0622577483      8.0622577483
4010.0     4171.0      32.0        5.65685424949      5.65685424949
4171.0     4337.0      23.0        4.79583152331      4.79583152331
4337.0     4509.0      14.0        3.74165738677      3.74165738677
4509.0     4686.0      14.0        3.74165738677      3.74165738677
4686.0     4869.0      5.0        2.2360679775      2.2360679775
4869.0     5058.0      5.0        2.2360679775      2.2360679775
5058.0     5253.0      7.0        2.64575131106      2.64575131106
5253.0     5455.0      3.0        1.73205080757      1.73205080757
5455.0     5663.0      1.0        1.0      1.0
5663.0     5877.0      3.0        1.73205080757      1.73205080757
5877.0     6099.0      2.0        0.0      0.0
6099.0     6328.0      1.0        1.0      1.0
6328.0     6564.0      0.0        0.0      0.0
6564.0     6808.0      0.0        0.0      0.0
6808.0     7060.0      1.0        1.0      1.0
7060.0     7320.0      0.0        0.0      0.0
7320.0     7589.0      0.0        0.0      0.0
7589.0     7866.0      0.0        0.0      0.0
7866.0     8152.0      0.0        0.0      0.0
8152.0     8447.0      0.0        0.0      0.0
8447.0     8752.0      0.0        0.0      0.0
8752.0     9067.0      0.0        0.0      0.0
9067.0     9391.0      0.0        0.0      0.0
9391.0     9726.0      0.0        0.0      0.0
9726.0     10072.0      0.0        0.0      0.0
10072.0     10430.0      0.0        0.0      0.0
10430.0     10798.0      0.0        0.0      0.0
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
