########################################################################################
#binLow(GeV)    binHigh(GeV)    events    errLow (evt)    errUp (evt)
########################################################################################
1.0     3.0      0.0        0.0      0.0
3.0     6.0      0.0        0.0      0.0
6.0     10.0      0.0        0.0      0.0
10.0     16.0      0.0        0.0      0.0
16.0     23.0      0.0        0.0      0.0
23.0     31.0      0.0        0.0      0.0
31.0     40.0      0.0        0.0      0.0
40.0     50.0      0.0        0.0      0.0
50.0     61.0      0.0        0.0      0.0
61.0     74.0      0.0        0.0      0.0
74.0     88.0      0.0        0.0      0.0
88.0     103.0      0.0        0.0      0.0
103.0     119.0      0.0        0.0      0.0
119.0     137.0      0.0        0.0      0.0
137.0     156.0      0.0        0.0      0.0
156.0     176.0      0.0        0.0      0.0
176.0     197.0      0.0        0.0      0.0
197.0     220.0      0.0        0.0      0.0
220.0     244.0      0.0        0.0      0.0
244.0     270.0      0.0        0.0      0.0
270.0     296.0      0.0        0.0      0.0
296.0     325.0      0.0        0.0      0.0
325.0     354.0      0.0        0.0      0.0
354.0     386.0      0.0        0.0      0.0
386.0     419.0      0.0        0.0      0.0
419.0     453.0      0.0        0.0      0.0
453.0     489.0      0.0        0.0      0.0
489.0     526.0      0.0        0.0      0.0
526.0     565.0      0.0        0.0      0.0
565.0     606.0      0.0        0.0      0.0
606.0     649.0      0.0        0.0      0.0
649.0     693.0      0.0        0.0      0.0
693.0     740.0      0.0        0.0      0.0
740.0     788.0      0.0        0.0      0.0
788.0     838.0      0.0        0.0      0.0
838.0     890.0      0.0        0.0      0.0
890.0     944.0      0.0        0.0      0.0
944.0     1000.0      0.0        0.0      0.0
1000.0     1058.0      0.0        0.0      0.0
1058.0     1118.0      0.0        0.0      0.0
1118.0     1181.0      0.0        0.0      0.0
1181.0     1246.0      101366.5625        359.892193415      359.892193415
1246.0     1313.0      76878.6640625        276.36812322      276.36812322
1313.0     1383.0      58316.8203125        209.251698435      209.251698435
1383.0     1455.0      43645.4179688        157.907185957      157.907185957
1455.0     1530.0      33060.984375        116.998330882      116.998330882
1530.0     1607.0      24839.0566406        89.8181911369      89.8181911369
1607.0     1687.0      18920.0820312        68.2318014947      68.2318014947
1687.0     1770.0      14449.8876953        53.1536492946      53.1536492946
1770.0     1856.0      10934.5849609        38.5578705775      38.5578705775
1856.0     1945.0      8304.49414062        29.052666279      29.052666279
1945.0     2037.0      6319.49658203        22.6018825113      22.6018825113
2037.0     2132.0      4786.96240234        16.9707835685      16.9707835685
2132.0     2231.0      3627.57885742        12.4111990443      12.4111990443
2231.0     2332.0      2727.72851562        9.54324717817      9.54324717817
2332.0     2438.0      2094.6015625        8.46658399995      8.46658399995
2438.0     2546.0      1558.19030762        5.7341380322      5.7341380322
2546.0     2659.0      1198.15661621        4.63835652523      4.63835652523
2659.0     2775.0      890.103820801        3.64945596133      3.64945596133
2775.0     2895.0      675.311584473        2.93456321283      2.93456321283
2895.0     3019.0      504.887390137        2.39675934495      2.39675934495
3019.0     3147.0      376.654968262        1.94639480242      1.94639480242
3147.0     3279.0      281.550994873        1.5995261706      1.5995261706
3279.0     3416.0      210.23638916        1.33242905621      1.33242905621
3416.0     3558.0      156.36088562        1.08755304184      1.08755304184
3558.0     3704.0      115.220329285        0.890584218681      0.890584218681
3704.0     3854.0      84.5748214722        0.714690119108      0.714690119108
3854.0     4010.0      62.442440033        0.568092327646      0.568092327646
4010.0     4171.0      44.5402259827        0.430990826941      0.430990826941
4171.0     4337.0      32.2574272156        0.329406810499      0.329406810499
4337.0     4509.0      22.9306030273        0.239945866452      0.239945866452
4509.0     4686.0      15.8795032501        0.177480677856      0.177480677856
4686.0     4869.0      11.401766777        0.136041914419      0.136041914419
4869.0     5058.0      7.94396495819        0.109578297035      0.109578297035
5058.0     5253.0      5.46866464615        0.079589899667      0.079589899667
5253.0     5455.0      3.76190280914        0.0592936505241      0.0592936505241
5455.0     5663.0      2.47235250473        0.0421877797688      0.0421877797688
5663.0     5877.0      1.65375244617        0.0274474659174      0.0274474659174
5877.0     6099.0      1.07194757462        0.03283229592      0.03283229592
6099.0     6328.0      0.0        0.0      0.0
6328.0     6564.0      0.0        0.0      0.0
6564.0     6808.0      0.0        0.0      0.0
6808.0     7060.0      0.0        0.0      0.0
7060.0     7320.0      0.0        0.0      0.0
7320.0     7589.0      0.0        0.0      0.0
7589.0     7866.0      0.0        0.0      0.0
7866.0     8152.0      0.0        0.0      0.0
8152.0     8447.0      0.0        0.0      0.0
8447.0     8752.0      0.0        0.0      0.0
8752.0     9067.0      0.0        0.0      0.0
9067.0     9391.0      0.0        0.0      0.0
9391.0     9726.0      0.0        0.0      0.0
9726.0     10072.0      0.0        0.0      0.0
10072.0     10430.0      0.0        0.0      0.0
10430.0     10798.0      0.0        0.0      0.0
10798.0     11179.0      0.0        0.0      0.0
11179.0     11571.0      0.0        0.0      0.0
11571.0     11977.0      0.0        0.0      0.0
11977.0     12395.0      0.0        0.0      0.0
12395.0     12827.0      0.0        0.0      0.0
12827.0     13272.0      0.0        0.0      0.0
13272.0     13732.0      0.0        0.0      0.0
13732.0     14000.0      0.0        0.0      0.0
